News Title,News Link,Publish Date,Description,Report Type,Accident Date,Time,Killed,Injured,Location,Road_Characteristic,Pedestrian_Involved,Vehicles Involved
SBMCH: Burn unit runs without specialist doctors,https://www.thedailystar.net/health/news/sbmch-burn-unit-runs-without-specialist-doctors-3721211,6/10/2024,"After suffering burns from hot water, one-and-a-half-year-old Araf was first admitted to Galachipa Upazila Hospital in Patuakhali on September 10, where the authorities referred him to Sher-e Bangla Medical College Hospital in Barishal for better treatment.

On the same day, he was admitted to the burn and plastic surgery unit of SBMCH.

However, Araf's father Shamim Hossain has alleged that the child is not getting proper treatment at the burn unit due to a shortage of specialist doctors, reports our

Not only Shamim but most patients admitted there alleged that the unit was running without any specialist doctor. Doctors from other departments supervise the patients admitted here when they can manage the time.

As a result, many patients leave the hospital and head towards Dhaka for better treatment, said many patients and their attendants.

According to the hospital's staffers, since the previous head of the unit Dr Marukul Islam was transferred a month ago, the facility has been in a poor condition.

Seeking anonymity, an on-duty nurse said due to a lack of specialists, doctors refer many patients to Dhaka. As a result, half of the beds in this 35-bed unit are currently empty.

Contacted, Md Rejawanul Alam, assistant director of SBMCH, said a letter had been sent to the authorities concerned regarding the shortage of doctors in various departments of the hospital, including the burn unit.

""A proposal has also been made to set up a burn unit on the 10th floor. If the proposal is approved, patients will no longer have to go to Dhaka,"" he said.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Flood in Sherpur: Death toll reaches 7,https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/flood-sherpur-death-toll-reaches-7-3721071,6/10/2024,"Three more people were confirmed to have died after being swept away by floodwaters in Sherpur district, raising the death toll to seven.

Sanowar Hossain, officer-in-charge of Nalitabari Police Station, confirmed the deaths to our local correspondent.

The three deceased were identified as Zahura Khatun, 70, of Poragaon union; Muktar Hossain, 50, of Urfa union under Nakla upazila; and Mahua Khatun of Namabatkuchi village under Nalitabari upazila. Mahua was missing since Friday night.

The flood marooned around 1.5 lakh people in Sadar, Jhenaigati, Nalitabari, Nakla and Sreebordi upazilas of the district, according to data of the district administration.

Aman paddies on around 25,000 hectares, and vegetables of around 1,000 hectares have been submerged due to the floods. More than 65,000 farmers have been affected by the flood, according to the local agriculture office.

Deputy Commissioner Torofdar Mahmudur Rahman said that operation for evacuating the flood-affected people and distribution of relief materials to the victims are ongoing.

Rapid rise in the water levels of the Bhogai and the Chellakhali rivers is leading to deterioration of the flood situation, Md Nakibuzzaman Khan, executive engineer of BWDB in Sherpur, said yesterday.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Man found dead near electric pole in Gazipur,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-found-dead-near-electric-pole-gazipur-3720971,6/10/2024,"Police recovered the body of a man today from beneath an electricity pole in Gazipur's Sreepur upazila.

The deceased was identified as Kawsar Hossain, 30, of Mymensingh, reports our Gazipur correspondent, quoting Sub-Inspector Wahid Miah of Sreepur Police Station.

The incident occurred on the south side of Nimuria Islamia Madrasa in Nimuria village of Prahladpur around 7:00am. Locals spotted the body and notified the police immediately, the SI said.

Upon receiving the report, officials from Sreepur Police Station, the Detective Branch, and the Police Bureau of Investigation went to the spot.

Sub-Inspector Wahid told The Daily Star that legal procedures are underway, including preparation of a report.

He added that initial assessments suggest the young man may have climbed the electricity transmitter pole and died due to electrocution. Further details will be confirmed following a thorough investigation.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Three killed in Keraniganj freak accident,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/three-killed-keraniganj-freak-accident-3720446,6/10/2024,"At least three people were killed when a bus collided with a parked rickshaw-van, which then crashed into the kitchen of a roadside eatery, causing a gas cylinder explosion in Dhaka's Keraniganj last evening.

The incident occurred around 7:30pm in the Ramerkanda area of Keraniganj, confirmed Sohrab Al Hossain, officer-in-charge of Keraniganj Model Police Station, to The Daily Star.

All three victims were inside the eatery at the time of the explosion. They died when the rickshaw-van hit a gas cylinder, leading to an explosion, he added.

The identities of the deceased have not yet been confirmed.

Shahjahan Miah, duty officer at Fire Service and Civil Defence headquarters, said firefighters recovered three bodies from the scene.

Two firefighting units extinguished the blaze around 8:50pm.",Specific,5/10/2024, 7:30pm,3,0," Ramerkanda area of Keraniganj, Dhaka", Roadside, Yes,Bus-Rickshaw-van
2nd oil tanker fire sparks sabotage concerns,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/2nd-oil-tanker-fire-sparks-sabotage-concerns-3720086,6/10/2024,"The authorities concerned suspect the back-to-back fires on two oil tankers of Bangladesh Shipping Corporation (BSC) at the Chattogram port could be acts of sabotage to harm the country's energy security.

The Bangladesh Petroleum Corporation (BPC) has issued directives to ensure special cautionary measures in all depots and installations of the energy sector across the country.

The Chittagong Port Authority (CPA), Bangladesh Navy, and Bangladesh Coast Guard have also beefed up security to avert any further incidents within the port limits and also in the maritime sector.

Yesterday, a crew member died after jumping off BSC oil tanker Banglar Shourabh, which caught fire at the outer anchorage of the Chattogram port.

The deceased was identified as Sadek Mia, 59, a general steward of the vessel. He died a couple of hours after jumping off.

The incident took place just five days after three people died in a deadly explosion in another BSC oil tanker – Banglar Jyoti – on September 30.

Both the tankers were used for lightering bigger tankers anchored at the outer anchorage, and bringing crude oil to the Eastern Refinery Limited plant.

Early yesterday, Banglar Shourabh had loaded 11,055 tonnes of crude oil from Omera Legacy, a bigger tanker, and was supposed to head towards the jetty.

According to witnesses, the fire started on the ship's deck near the mid-point around 12:30am and spread fast.

Upon information, the Bangladesh Coast Guard's fire-fighting boat rushed to the spot and started work to extinguish the fire. At least six boats from the coast guard, Bangladesh Navy and CPA followed.

After the ship master called ""abandon ship"", at least 12 crew members jumped into the water. A joint rescue team rescued 36 from the vessel. The other 12 were fished out of the water by nearby fishing trawlers and the coast guard.

The fire was completely brought under control by 4:00pm.

BSC Managing Director Commodore Mahmudul Malek at a press briefing at the BSC headquarter in Chattogram said, ""Sabotage may be the top concern now as the second fire incident occurred within a short period despite strict preventative and cautionary measures taken after the first incident.""

He said the two back-to-back incidents might be acts of sabotage to harm the country's energy security.

Quoting crew members, Mahmudul said they first noticed sequential ignitions at four points on the ship, which is ""very unlikely to happen"".

He said they also noticed a speedboat passing by at the time.

The BSC MD further said that following the explosion on Banglar Jyoti and amid criticisms of using two old ships for lightering, preventative measures were taken over the last few days, including carrying out daily fire drills, checking the ventilation system and looking out for any leakage on the Banglar Shourabh to avert a repeat incident.

He added that there was no physical activity going on on the ship when the fire began.

Mahmudul said both the ships were supposed to be phased out after Banglar Shourabh's last trip yesterday, adding that they were working to hire a foreign oil tanker for lightering.

Senior officials of the CPA, the navy and coast guard were present at the briefing.

CPA Member M Fazlar Rahman said an order was issued to strictly follow the port's security system at the jetties as well as within the port limits till Matarbari.

The navy and coast guard, who are dedicated to maintaining the security at the outer anchorage and port limits, have been requested to enhance round-the-clock patrols.

Contacted, BPC Managing Director Amin Ul Ahsan said consecutive fire incidents on two tankers was not a ""mere accident"".

""It could be sabotage"".

He said directives were given to ensure special cautionary measures in all depots and installations of the energy sector across the country.

Following the fire incidents, the BPC authorities are now actively trying to launch a single point mooring (SPM) with a double pipeline project, which will enable the discharging of imported crude oil through underwater pipelines.

The commercial operations of the SPM project have not yet started, despite trial operations three months ago.

Amin Ul Hasan said the operator appointment process for the SPM project, located in the middle of the sea, is currently ongoing.

He said the energy ministry has also asked for the completion of the process as soon as possible.

""We're trying to start commercial operations of the SPM at the earliest. Safety will be ensured to a large extent if oil is transported through SPM.""

Meanwhile, the BSC formed an eight-member probe committee, led by its Executive Director Engineer Mohammad Yousuf, to investigate the fire incident and were asked to submit a report within five days.

The shipping ministry and department of shipping formed two separate committees in this regard as well.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Boy dies as auto-rickshaw hits him,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/boy-dies-auto-rickshaw-hits-him-3721581,6/10/2024,"A six-year-old was killed after a battery-run auto-rickshaw hit him in Patuakhali yesterday.

The accident occurred around 9:30am on ​​Patuakhali-Kuakata road in Pakhimara area. said police.

Labbir, 6, son of Zakaria Zahid, a local journalist and a resident of Navinpur village in Kalapara, died on the way to Kalapara Upazila Health Complex, said Kalapara Police Station Officer-in-Charge (Investigation) Mostafizur Rahman.

During the accident, Labbir and his younger brother Lihan were with their grandmother, Jamila Khatun, who was going for a morning walk.

Legal action will be taken following the accident.",Specific,5/10/2024, 9:30am,1,0," Pakhimara area, Patuakhali", Patuakhali-Kuakata road, Yes,Auto-rickshaw
Fire ignited on ship in a highly suspicious way,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/fire-ignited-ship-highly-suspicious-way-3720456,5/10/2024,"Banglar Shourabh chief engineer narrates how the fire ignited and how it spread

Banglar Shourabh Chief Engineer Rashedul Hasan was going through the checklist of engine equipment in his cabin when he heard a loud sound on the deck.

From the C-deck, which houses the cabins of the top four officials including the captain and chief engineer, the overview of the whole ship can be seen.

""It was around 12:15am. I could see fire igniting at four nearby points on the deck near the mid-ship point. The fire ignited in a Z-shape and spread fast,"" Rashed told The Daily Star while talking about the BSC oil tanker which caught fire early today.

He said it was very unusual that ignitions occurred sequentially from the portside on the left to the starboard side on the right, and then back to portside and starboard.

Rashedul said one of the crewmen noticed a speedboat passed their ship a few minutes before the fire ignited.

The incident occurred after the ship completed lightering 11,055 tonnes of crude oil from a bigger oil tanker at the outer anchorage of Chittagong port and was supposed to sail for the port jetty this morning.

Rashidul said he Immediately went to the bridge room, informed Bangladesh Shipping Corporation officials and called the Coast Guard, navy and port authority for help.

He then rushed to the engine room on the ground floor, disconnected the power supply to the deck and other parts of the ship except the accommodation rooms, and minimised operation of different equipment.

As the fire spread, the captain decided to abandon the ship.

At first, the crew boarded a fishing trawler and later shifted to a Coast Guard tugboat which came for their rescue.

Some crewmen, however, jumped into the sea to save their lives and were later rescued.

Hasan, a 47th batch student of Bangladesh Marine Academy, joined the mariner's job in 2012. He joined Banglar Shourobh four months ago after working in Banglar Jyoti which was also damaged in a deadly explosion on Monday.

""I never saw such a dangerous incident in my career,"" said the young chief engineer who was injured in the left arm.

He expressed relief since the fire did not reach any of the eight oil tanks of the ship.

""If that had happened and the tanks exploded, none of us on board would have survived,"" he said.

""It would have been a catastrophe as nearby ships at the outer anchorage would have caught fire as well,"" he said.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Factory worker killed after being hit by bus on Dhaka-Tangail highway,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/factory-worker-killed-after-being-hit-bus-dhaka-tangail-highway-3720111,5/10/2024,"A factory worker was killed after being run over by a bus on the Dhaka-Tangail highway in Gazipur's Konabari area this morning.

The victim, Rakibul Islam, 30, is from Satbaria village in Shahjadpur, Sirajganj. He worked at a factory under Ha-meem Group in Tongi.

The incident occurred at around 7:30am in front of Konabari Degree College, reports our local correspondent quoting Nazrul Islam, officer-in-charge (OC) of Konabari Police Station.

Eyewitnesses and locals said a Gazipur-bound bus of Taqwa Paribahan hit Rakibul's motorcycle from behind, causing his death on the spot.

Shahjahan Ali, the victim's father, said his son had returned home last Thursday and was on his way back to work when the accident happened.

""My son will never come home again,"" he said, breaking into tears.

Mohammad Howladar, a local resident, expressed frustration over the safety concerns involving Taqwa Paribahan on the highway, accusing the bus staff of negligence and reckless driving, which has led to multiple accidents.

Abul Kashem, sub-inspector of Konabari Police Station confirmed that the body was sent to Gazipur Shaheed Tajuddin Ahmad Medical College Hospital for autopsy.

However, the driver managed to flee with the vehicle, he added.

Sultan Uddin Sarkar, president of the Gazipur Owners Workers Union, said, ""When accidents occur, we take action against the drivers involved.""",specific,5/10/2024, 7:30,1,0," Konabari, Gazipur", Dhaka-Tangail highway, No,Bus-Motorcycle
14 missing as another oil tanker catches fire in Ctg port,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/14-missing-another-oil-tanker-catches-fire-ctg-port-3719951,5/10/2024,"Fire broke out on another oil tanker of Bangladesh Shipping Corporation (BSC), ""Banglar Shourabh"", at the outer anchorage of Chittagong Port today, five days after a deadly explosion and fire on ""Banglar Jyoti"".

Coast Guard rescued 36 of the total 50 crewmen from the ship till the filing of this report as of 2:00am, reports our Chattogram staff correspondent.

Captain Md Jahirul Hoque, zonal commander of Coast Guard East Zone, told The Daily Star that the fire broke out on the ship anchored at the C-Anchorage area around 12:50am.

The lighter vessel was carrying crude oil from a bigger oil tanker at sea and was about to start for Chittagong port jetty to unload the fuel when the fire broke out, he said.

Quoting crewmen, Zahirul said there were a total of 50 crewmen onboard the ship, of whom 14 jumped into sea after fire broke out.

Several tugboats of the Coast Guard were conducting operations to rescue them, he said, adding that a firefighting tugboat was engaged in extinguishing the blaze.

Several tugboats from the port authority were also sent to the spot.

On September 30, three people were killed in an explosion on Banglar Jyoti anchored at the port's Dolphin Jetty 7.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
4 lives lost as truck hits bus,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/4-lives-lost-truck-hits-bus-3719536,5/10/2024,"At least four people were killed and eight others injured in a head-on collision between a bus and a truck in Tangail's Kalihati upazila early yesterday.

Two of the deceased were identified as Mizanur Rahman, 33, of Ghagra village of Dhanbari upazila of Tangail, and Mohammad Ziaul, 35, of Mahish Bayan village of Madarganj upazila of Jamalpur.

The accident took place around 1:00am on the Tangail-Mymensingh highway near the Shulakura Bridge of the upazila.

Quoting locals, Elenga Highway Police in-charge Nannu Khan told The Daily Star that the Mymensingh-bound Crown Deluxe Paribahan bus collided head-on with a truck coming from the opposite direction.

The bus fell into a ditch, leaving two people dead on the spot and more than 10 others injured.

Being informed, local fire service and highway police reached the spot and carried out a rescue operation.

Two of the injured died on the way to the Tangail General Hospital. The rest injured, three of them in critical condition, were rushed to the hospital.

Police were completing legal processes to hand over the bodies to their families.",Specific,4/10/2024, 01:00,4,8," Kalihati upazila, Tangail", Tangail-Mymensingh highway, No,Bus-Truck
